mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,Gamma_total_alp_GeV,N_signal
0.0562,2.51e-06,0.0,9.999751814144486e-14,1.831121006069307e-15,1.3335128218557664e-24,0.0
0.0562,3.16e-06,0.0,1.5849513772054574e-13,2.902309791623251e-15,2.1136054402188746e-24,0.0
0.0562,3.98e-06,0.0,2.514246895077441e-13,4.6040045689021074e-15,3.35286368523104e-24,0.0
0.0562,5.01e-06,0.0,3.9839807385629865e-13,7.295331877976536e-15,5.312821253608978e-24,0.0
0.0562,6.31e-06,0.0,6.319758705530933e-13,1.1572530132816212e-14,8.427688428166437e-24,0.0
0.0562,7.94e-06,0.0,1.0006513443757865e-12,1.8323591730008908e-14,1.334414516213174e-23,0.0
0.0562,1e-05,0.0,1.5872369984832332e-12,2.906495144631447e-14,2.1166534211453248e-23,0.0
0.0562,1.26e-05,0.0,2.5198974587919367e-12,4.614351691616804e-14,3.360398971410318e-23,0.0
0.0562,1.58e-05,0.0,3.96237844301337e-12,7.255774479057627e-14,5.284013600547191e-23,0.0
0.0562,2e-05,0.0,6.348947993932377e-12,1.162598057852477e-13,8.466613684581299e-23,0.0
0.0562,2.51e-05,0.0,9.999751814142677e-12,1.8311210060689757e-13,1.333512821855766e-22,0.0
0.0562,3.16e-05,0.0,1.584951377205003e-11,2.9023097916224185e-13,2.1136054402188764e-22,0.0
0.0562,3.98e-05,0.0,2.514246895076296e-11,4.604004568900011e-13,3.35286368523104e-22,0.0
0.0562,5.01e-05,0.0,3.983980738560108e-11,7.295331877971265e-13,5.312821253608975e-22,0.0
0.0562,6.31e-05,0.0,6.319758705523693e-11,1.1572530132802953e-12,8.427688428166436e-22,0.0
0.0562,7.94e-05,0.0,1.0006513443739709e-10,1.832359172997566e-12,1.3344145162131744e-21,0.0
0.0562,0.0001,0.0,1.587236998478666e-10,2.906495144623084e-12,2.116653421145325e-21,0.0
0.0562,0.000126,0.0,2.5198974587804263e-10,4.614351691595727e-12,3.360398971410317e-21,0.0
0.0562,0.000158,0.0,3.9623784429849065e-10,7.2557744790055054e-12,5.284013600547188e-21,0.0
0.0562,0.0002,0.0,6.348947993859303e-10,1.162598057839096e-11,8.4666136845813e-21,0.0
0.0562,0.000251,0.0,9.999751813961396e-10,1.8311210060357802e-11,1.3335128218557655e-20,0.0
0.0562,0.000316,0.0,1.5849513771594623e-09,2.9023097915390266e-11,2.1136054402188753e-20,0.0
0.0562,0.000398,0.0,2.514246894961697e-09,4.6040045686901615e-11,3.3528636852310406e-20,0.0
0.0562,0.000501,0.0,3.98398073827237e-09,7.295331877444369e-11,5.312821253608977e-20,0.0
0.0562,0.000631,0.0,6.319758704799654e-09,1.1572530131477118e-10,8.427688428166437e-20,0.0
0.0562,0.000794,0.0,1.0006513441924493e-08,1.83235917266517e-10,1.3344145162131737e-19,0.0
0.0562,0.001,0.0,1.587236998021949e-08,2.9064951437867593e-10,2.1166534211453247e-19,0.0
0.0562,0.00126,0.0,2.519897457629285e-08,4.6143516894877954e-10,3.3603989714103175e-19,0.0
0.0562,0.00158,0.0,3.962378440138645e-08,7.255774473793527e-10,5.284013600547188e-19,0.0
0.0562,0.002,0.0,6.34894798655184e-08,1.162598056500978e-09,8.466613684581299e-19,0.0
0.0562,0.00251,0.0,9.999751795833749e-08,1.8311210027163063e-09,1.333512821855766e-18,0.0
0.0562,0.00316,1.3682373176415209e-05,1.584951372605443e-07,2.9023097831998592e-09,2.1136054402188754e-18,2.6023075375751017e-06
0.0562,0.00398,0.0,2.514246883501849e-07,4.604004547705272e-09,3.3528636852310407e-18,0.0
0.0562,0.00501,3.324139525395551e-05,3.983980709498553e-07,7.295331824754721e-09,5.312821253608976e-18,1.5891969293829063e-05
0.0562,0.00631,7.117000826341083e-06,6.319758632395411e-07,1.1572529998892896e-08,8.427688428166436e-18,5.39732728908412e-06
0.0562,0.00794,3.3425271412711166e-05,1.0006513260402777e-06,1.8323591394255222e-08,1.3344145162131735e-17,4.013645059486274e-05
0.0562,0.01,7.929256407662154e-05,1.5872369523503138e-06,2.9064950601543926e-08,2.1166534211453254e-17,0.0001510273052988225
0.0562,0.0126,0.00011271783548933272,2.5198973425151266e-06,4.61435147869461e-08,3.360398971410318e-17,0.0003408448489243521
0.0562,0.0158,5.3352045807762775e-05,3.962378155512435e-06,7.255773952595559e-08,5.284013600547189e-17,0.0002536811770326936
0.0562,0.02,0.00012695183714201485,6.3489472558057396e-06,1.1625979226892034e-07,8.466613684581302e-17,0.0009672126216507508
0.0562,0.0251,0.0002153824154985203,9.999749983069275e-06,1.8311206707689573e-07,1.3335128218557664e-16,0.0025845243668816977
0.0562,0.0316,0.00032722765138014836,1.5849509172036067e-05,2.9023089492832936e-07,2.1136054402188756e-16,0.006223677194272179
0.0562,0.0398,0.0005281470321739266,2.5142457375175674e-05,4.6040024492173e-07,3.352863685231041e-16,0.015934697093110184
0.0562,0.0501,0.0007885692976219568,3.9839778321189667e-05,7.29532655579375e-07,5.312821253608977e-16,0.037699711209786
0.0562,0.0631,0.000879024138017544,6.319751391979665e-05,1.1572516740486476e-06,8.427688428166436e-16,0.06666256823784118
0.0562,0.0794,0.0015534529963589657,0.00010006495108264944,1.8323558154669372e-06,1.3344145162131739e-15,0.18653543770782616
0.0562,0.1,0.002338851242388772,0.00015872323852000585,2.906486696942059e-06,2.116653421145325e-15,0.4454760523301821
0.0562,0.126,0.003000975174451677,0.00025198858311526064,4.614330399473734e-06,3.3603989714103185e-15,0.9074537786089802
0.0562,0.158,0.00332824798272513,0.0003962349693097877,7.255721833176848e-06,5.284013600547189e-15,1.5825218847485456
0.0562,0.2,0.0034599789757020225,0.0006348874182045181,1.1625845416673102e-05,8.4666136845813e-15,2.6360365427104444
0.0562,0.251,0.0028729693768439497,0.0009999568709941342,1.8310874766418863e-05,1.3335128218557659e-14,3.4474145622370127
0.0562,0.316,0.0019063905086631437,0.0015849053783414792,2.9022255600466568e-05,2.1136054402188757e-14,3.6257382844792385
0.0562,0.398,0.0007991331642785818,0.0025141311443646975,4.603792610080017e-05,3.352863685231041e-14,2.410950692168991
0.0562,0.501,0.0003324607337256287,0.003983690115148126,7.294799698128779e-05,5.3128212536089755e-14,1.5893046463412162
0.0562,0.631,1.8387615875565317e-07,0.006319027434177086,0.00011571191053244986,8.427688428166436e-14,0.0013943021900016885
0.0562,0.794,9.193807937782657e-08,0.010004680226999352,0.00018320234804979586,1.3344145162131743e-13,0.0011037733018315662
0.0562,1.0,6.841186588207604e-06,0.01586775802866614,0.000290565061869001,2.116653421145325e-13,0.1302651520927612
0.1,3.16e-08,0.0,1.5849368638338367e-17,2.902283215224019e-19,3.796731961172533e-28,0.0
0.1,3.98e-08,0.0,2.5142238721632658e-17,4.603962410114019e-19,6.02284819717968e-28,0.0
0.1,5.01e-08,0.0,3.9839442573221113e-17,7.295265074752081e-19,9.543577942099296e-28,0.0
0.1,6.31e-08,0.0,6.319700835612723e-17,1.1572424163363346e-18,1.5138905968518844e-27,0.0
0.1,7.94e-08,0.0,1.0006421814292069e-16,1.8323423941205032e-18,2.3970482601684098e-27,0.0
0.1,1e-07,0.0,1.5872224641822588e-16,2.9064685299070842e-18,3.802207139453347e-27,0.0
0.1,1.26e-07,0.0,2.5198743841357537e-16,4.6143094380804865e-18,6.0363840545961334e-27,0.0
0.1,1.58e-07,0.0,3.9623421595845916e-16,7.255708038060047e-18,9.491829902931337e-27,0.0
0.1,2e-07,0.0,6.348889856729035e-16,1.1625874119628337e-17,1.520882855781339e-26,0.0
0.1,2.51e-07,0.0,9.999660246594652e-16,1.8311042385267628e-17,2.3954285199270035e-26,0.0
0.1,3.16e-07,0.0,1.5849368638338366e-15,2.902283215224019e-17,3.796731961172535e-26,0.0
0.1,3.98e-07,0.0,2.5142238721632654e-15,4.603962410114018e-17,6.022848197179679e-26,0.0
0.1,5.01e-07,0.0,3.983944257322114e-15,7.295265074752085e-17,9.543577942099299e-26,0.0
0.1,6.31e-07,0.0,6.319700835612721e-15,1.1572424163363342e-16,1.513890596851884e-25,0.0
0.1,7.94e-07,0.0,1.0006421814292063e-14,1.8323423941205023e-16,2.397048260168411e-25,0.0
0.1,1e-06,0.0,1.587222464182259e-14,2.906468529907085e-16,3.802207139453348e-25,0.0
0.1,1.26e-06,0.0,2.519874384135753e-14,4.614309438080485e-16,6.036384054596135e-25,0.0
0.1,1.58e-06,0.0,3.962342159584587e-14,7.255708038060039e-16,9.491829902931333e-25,0.0
0.1,2e-06,0.0,6.348889856729031e-14,1.162587411962833e-15,1.5208828557813391e-24,0.0
