filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,acceptance,cross_section_pb,N_signal
ALP_W-_sampledfs_Scan_1_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_1_Run_5.pkl.gz,1,5,0.0562,0.01,1,2000,5.4365278000000006e-05,2000,5.4365278000000006e-05,17,4.621048630000001e-07,4,1.0873055600000001e-07,1,2.7182639000000003e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.718264e-08,0.0
ALP_W-_sampledfs_Scan_1_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_1_Run_6.pkl.gz,1,6,0.0562,0.00316,1,2000,5.3525438000000005e-06,2000,5.3525438000000005e-06,4,1.0705087600000002e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.676272e-09,0.0
ALP_W-_sampledfs_Scan_2_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_1.pkl.gz,2,1,0.1,1.0,1,2000,0.5419100600000001,2000,0.5419100600000001,2000,0.5419100600000001,3,0.00081286509,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,0.000270955,0.0
ALP_W-_sampledfs_Scan_2_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_2.pkl.gz,2,2,0.1,0.316,1,2000,0.0544715079999999,2000,0.0544715079999999,1868,0.0508763884719999,47,0.001280080438,6,0.0001634145239999,2,5.4471508e-05,2,5.4471508e-05,2,5.4471508e-05,2,5.4471508e-05,2,5.4471508e-05,2,5.4471508e-05,2,success,0.001,2.723576e-05,0.040853640000000004
ALP_W-_sampledfs_Scan_2_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_3.pkl.gz,2,3,0.1,0.1,1,2000,0.0054178151999999,2000,0.0054178151999999,1168,0.0031640040767999,158,0.0004280074008,31,8.39761356e-05,10,2.7089076e-05,3,8.126722800000001e-06,3,8.126722800000001e-06,3,8.126722800000001e-06,3,8.126722800000001e-06,3,8.126722800000001e-06,3,success,0.0015,2.708907e-06,0.00609504075
ALP_W-_sampledfs_Scan_2_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_4.pkl.gz,2,4,0.1,0.0316,1,2000,0.00054086626,2000,0.00054086626,296,8.004820648000001e-05,70,1.893031910000001e-05,12,3.2451975600000003e-06,3,8.1129939e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.704332e-07,0.0
ALP_W-_sampledfs_Scan_2_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_5.pkl.gz,2,5,0.1,0.01,1,2000,5.4591750000000005e-05,2000,5.4591750000000005e-05,47,1.282906125000001e-06,13,3.548463750000001e-07,2,5.4591750000000016e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.729587e-08,0.0
ALP_W-_sampledfs_Scan_2_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_6.pkl.gz,2,6,0.1,0.00316,1,2000,5.375955400000001e-06,2000,5.375955400000001e-06,4,1.0751910800000002e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.687978e-09,0.0
ALP_W-_sampledfs_Scan_2_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_7.pkl.gz,2,7,0.1,0.001,1,2000,5.406839399999999e-07,2000,5.406839399999999e-07,2,5.4068394e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.703419e-10,0.0
ALP_W-_sampledfs_Scan_2_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_2_Run_8.pkl.gz,2,8,0.1,0.000316,1,2000,5.423698000000001e-08,2000,5.423698000000001e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.711849e-11,0.0
