filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_W-_sampledfs_Scan_8_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_1.pkl.gz,8,1,3.16,0.001,1,2000,3.8162949999999994e-07,2000,3.8162949999999994e-07,2000,3.8162949999999994e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_8_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_2.pkl.gz,8,2,3.16,0.000316,1,2000,3.813512e-08,2000,3.813512e-08,2000,3.813512e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_8_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_3.pkl.gz,8,3,3.16,0.0001,1,2000,3.823163599999998e-09,2000,3.823163599999998e-09,1971,3.767727727799999e-09,14,2.676214519999999e-11,2,3.8231636e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_8_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_4.pkl.gz,8,4,3.16,3.16e-05,1,2000,3.812167200000001e-10,2000,3.812167200000001e-10,1491,2.841970647600001e-10,142,2.7066387120000008e-11,21,4.002775560000001e-12,19,3.6215588400000006e-12,18,3.4309504800000006e-12,16,3.0497337600000004e-12,17,3.2403421200000005e-12,16,3.0497337600000004e-12,16,3.0497337600000004e-12,16,success
ALP_W-_sampledfs_Scan_8_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_5.pkl.gz,8,5,3.16,1e-05,1,2000,3.8400552e-11,2000,3.8400552e-11,558,1.0713754008000003e-11,144,2.7648397440000006e-12,24,4.60806624e-13,15,2.8800413999999997e-13,2,3.8400552e-14,2,3.8400552e-14,2,3.8400552e-14,2,3.8400552e-14,2,3.8400552e-14,2,success
ALP_W-_sampledfs_Scan_8_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_6.pkl.gz,8,6,3.16,3.16e-06,1,2000,3.7725752000000005e-12,2000,3.7725752000000005e-12,75,1.4147157000000003e-13,20,3.7725751999999995e-14,4,7.5451504e-15,3,5.658862800000001e-15,2,3.7725752e-15,2,3.7725752e-15,2,3.7725752e-15,2,3.7725752e-15,2,3.7725752e-15,2,success
ALP_W-_sampledfs_Scan_8_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_7.pkl.gz,8,7,3.16,1e-06,1,2000,3.7991104000000006e-13,2000,3.7991104000000006e-13,9,1.7095996800000003e-15,1,1.8995552000000003e-16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_8_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_8_Run_8.pkl.gz,8,8,3.16,3.16e-07,1,2000,3.804415400000001e-14,2000,3.804415400000001e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_9_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_1.pkl.gz,9,1,5.62,0.000316,1,2000,3.1739750000000005e-08,2000,3.1739750000000005e-08,2000,3.1739750000000005e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_9_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_2.pkl.gz,9,2,5.62,0.0001,1,2000,3.1703566e-09,2000,3.1703566e-09,1999,3.1687714217000002e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_9_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_3.pkl.gz,9,3,5.62,3.16e-05,1,2000,3.1655808000000007e-10,2000,3.1655808000000007e-10,1956,3.0959380224000007e-10,19,3.007301760000001e-12,1,1.5827904000000003e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_9_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_4.pkl.gz,9,4,5.62,1e-05,1,2000,3.169317600000001e-11,2000,3.169317600000001e-11,1331,2.1091808628000004e-11,165,2.61468702e-12,31,4.912442280000001e-13,23,3.6447152400000006e-13,22,3.4862493600000005e-13,22,3.4862493600000005e-13,22,3.4862493600000005e-13,22,3.4862493600000005e-13,22,3.4862493600000005e-13,22,success
ALP_W-_sampledfs_Scan_9_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_5.pkl.gz,9,5,5.62,3.16e-06,1,2000,3.1856004e-12,2000,3.1856004e-12,392,6.243776784000001e-13,119,1.8954322379999995e-13,26,4.141280520000001e-14,16,2.5484803200000002e-14,2,3.1856004000000003e-15,2,3.1856004000000003e-15,2,3.1856004000000003e-15,2,3.1856004000000003e-15,2,3.1856004000000003e-15,2,success
ALP_W-_sampledfs_Scan_9_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_6.pkl.gz,9,6,5.62,1e-06,1,2000,3.1538708000000005e-13,2000,3.1538708000000005e-13,47,7.41159638e-15,12,1.8923224800000003e-15,3,4.730806200000001e-16,1,1.5769354000000003e-16,1,1.5769354000000003e-16,1,1.5769354000000003e-16,1,1.5769354000000003e-16,1,1.5769354000000003e-16,1,1.5769354000000003e-16,1,success
ALP_W-_sampledfs_Scan_9_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_7.pkl.gz,9,7,5.62,3.16e-07,1,2000,3.152147e-14,2000,3.152147e-14,5,7.8803675e-17,1,1.5760735e-17,1,1.5760735e-17,1,1.5760735e-17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_9_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_9_Run_8.pkl.gz,9,8,5.62,1e-07,1,2000,3.1686648e-15,2000,3.1686648e-15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
