mass,CaPhi,N_signal_h,N_signal_p,N_signal
0.1,0.251,0.7347221125454696,3.930229144817021e-05,0.7347614148369178
0.1,0.316,0.1910530134804624,4.886996459004724e-05,0.19110188344505247
0.1,0.398,0.000274781461042,1.857628837719148e-05,0.00029335774941919153
0.1,0.501,0.0,2.5133866246213603e-05,2.5133866246213603e-05
0.1,0.631,0.0,1.3889018583886627e-05,1.3889018583886627e-05
0.1,0.794,0.0,0.0,0.0
0.1,1.0,0.0,0.0,0.0
0.178,3.16e-08,0.0,0.0,0.0
0.178,3.98e-08,0.0,0.0,0.0
0.178,5.01e-08,0.0,0.0,0.0
0.178,6.31e-08,0.0,0.0,0.0
0.178,7.94e-08,0.0,0.0,0.0
0.178,1e-07,0.0,0.0,0.0
0.178,1.26e-07,0.0,0.0,0.0
0.178,1.58e-07,0.0,0.0,0.0
0.178,2e-07,0.0,0.0,0.0
0.178,2.51e-07,0.0,0.0,0.0
0.178,3.16e-07,0.0,0.0,0.0
0.178,3.98e-07,0.0,0.0,0.0
0.178,5.01e-07,0.0,0.0,0.0
0.178,6.31e-07,0.0,0.0,0.0
0.178,7.94e-07,0.0,0.0,0.0
0.178,1e-06,0.0,0.0,0.0
0.178,1.26e-06,0.0,0.0,0.0
0.178,1.58e-06,0.0,0.0,0.0
0.178,2e-06,0.0,0.0,0.0
0.178,2.51e-06,0.0,0.0,0.0
0.178,3.16e-06,0.0,0.0,0.0
0.178,3.98e-06,0.0,0.0,0.0
0.178,5.01e-06,0.0,0.0,0.0
0.178,6.31e-06,0.0,0.0,0.0
0.178,7.94e-06,0.0,0.0,0.0
0.178,1e-05,0.0,0.0,0.0
0.178,1.26e-05,0.0,0.0,0.0
0.178,1.58e-05,0.0,0.0,0.0
0.178,2e-05,0.0,0.0,0.0
0.178,2.51e-05,0.0,0.0,0.0
0.178,3.16e-05,0.0,0.0,0.0
0.178,3.98e-05,0.0,0.0,0.0
0.178,5.01e-05,0.0,0.0,0.0
0.178,6.31e-05,0.0,0.0,0.0
0.178,7.94e-05,0.0,0.0,0.0
0.178,0.0001,0.0,0.0,0.0
0.178,0.000126,0.0,0.0,0.0
0.178,0.000158,0.0,0.0,0.0
0.178,0.0002,0.0,0.0,0.0
0.178,0.000251,0.0,0.0,0.0
0.178,0.000316,0.0,0.0,0.0
0.178,0.000398,0.0,0.0,0.0
0.178,0.000501,0.0,0.0,0.0
0.178,0.000631,0.0,0.0,0.0
0.178,0.000794,0.0,5.8772652898433326e-12,5.8772652898433326e-12
0.178,0.001,0.0,0.0,0.0
