C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001096985797892384,1.0,0.0002,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.000251,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.000316,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.000398,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.000501,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.000631,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.000794,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.001,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.00126,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.00158,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.002,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.00251,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.00316,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.00398,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.00501,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,0.00631,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.0011489510001873086,1.0,3.16e-07,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,3.98e-07,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,5.01e-07,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,6.31e-07,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,7.94e-07,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,1e-06,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,1.26e-06,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,1.58e-06,0.01,6.666666666666667e-05,7.037471899992243e-05,1.2886782457411176e-06,5.6299775199937944e-05
0.0011489510001873086,1.0,2e-06,0.01,3.3333333333333335e-05,7.037471899992243e-05,1.2886782457411176e-06,2.8149887599968972e-05
0.0011489510001873086,1.0,3.16e-06,0.01,6.666666666666667e-05,7.037471899992243e-05,1.2886782457411176e-06,5.6299775199937944e-05
0.0011489510001873086,1.0,3.98e-06,0.01,0.0001,7.037471899992243e-05,1.2886782457411176e-06,8.444966279990692e-05
0.0011489510001873086,1.0,5.01e-06,0.01,0.00023333333333333333,7.037471899992243e-05,1.2886782457411176e-06,0.0001970492131997828
0.0011489510001873086,1.0,6.31e-06,0.01,0.00016666666666666666,7.037471899992243e-05,1.2886782457411176e-06,0.00014074943799984485
0.0011489510001873086,1.0,7.94e-06,0.01,0.0004,7.037471899992243e-05,1.2886782457411176e-06,0.0003377986511996277
0.0011489510001873086,1.0,1e-05,0.01,0.00036666666666666667,7.037471899992243e-05,1.2886782457411176e-06,0.0003096487635996587
0.0011489510001873086,1.0,1.26e-05,0.01,0.0006,7.037471899992243e-05,1.2886782457411176e-06,0.0005066979767994414
0.0011489510001873086,1.0,1.58e-05,0.01,0.0010666666666666667,7.037471899992243e-05,1.2886782457411176e-06,0.0009007964031990071
0.0011489510001873086,1.0,2e-05,0.01,0.0016666666666666668,7.037471899992243e-05,1.2886782457411176e-06,0.0014074943799984487
0.0011489510001873086,1.0,2.51e-05,0.01,0.0019333333333333333,7.037471899992243e-05,1.2886782457411176e-06,0.0016326934807982002
0.0011489510001873086,1.0,3.16e-05,0.01,0.0019666666666666665,7.037471899992243e-05,1.2886782457411176e-06,0.0016608433683981691
0.0011489510001873086,1.0,3.98e-05,0.01,0.0016,7.037471899992243e-05,1.2886782457411176e-06,0.0013511946047985108
0.0011489510001873086,1.0,5.01e-05,0.01,0.0011333333333333334,7.037471899992243e-05,1.2886782457411176e-06,0.0009570961783989451
0.0011489510001873086,1.0,6.31e-05,0.01,0.00046666666666666666,7.037471899992243e-05,1.2886782457411176e-06,0.0003940984263995656
0.0011489510001873086,1.0,7.94e-05,0.01,0.00016666666666666666,7.037471899992243e-05,1.2886782457411176e-06,0.00014074943799984485
0.0011489510001873086,1.0,0.0001,0.01,3.3333333333333335e-05,7.037471899992243e-05,1.2886782457411176e-06,2.8149887599968972e-05
0.0011489510001873086,1.0,0.000126,0.01,6.666666666666667e-05,7.037471899992243e-05,1.2886782457411176e-06,5.6299775199937944e-05
0.0011489510001873086,1.0,0.000158,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.0002,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.000251,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.000316,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.000398,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.000501,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.000631,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.000794,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.001,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.00126,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.00158,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.002,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.00251,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.00316,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.00398,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.00501,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0011489510001873086,1.0,0.00631,0.01,0.0,7.037471899992243e-05,1.2886782457411176e-06,0.0
0.0012033778407775893,1.0,3.16e-07,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,3.98e-07,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,5.01e-07,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,6.31e-07,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,7.94e-07,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,1e-06,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,1.26e-06,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,1.58e-06,0.01,6.666666666666667e-05,7.720005762484978e-05,1.4136615569465259e-06,6.176004609987983e-05
0.0012033778407775893,1.0,2e-06,0.01,3.3333333333333335e-05,7.720005762484978e-05,1.4136615569465259e-06,3.0880023049939916e-05
0.0012033778407775893,1.0,3.16e-06,0.01,6.666666666666667e-05,7.720005762484978e-05,1.4136615569465259e-06,6.176004609987983e-05
0.0012033778407775893,1.0,3.98e-06,0.01,0.0001,7.720005762484978e-05,1.4136615569465259e-06,9.264006914981976e-05
0.0012033778407775893,1.0,5.01e-06,0.01,0.00023333333333333333,7.720005762484978e-05,1.4136615569465259e-06,0.0002161601613495794
0.0012033778407775893,1.0,6.31e-06,0.01,0.00016666666666666666,7.720005762484978e-05,1.4136615569465259e-06,0.0001544001152496996
0.0012033778407775893,1.0,7.94e-06,0.01,0.0004,7.720005762484978e-05,1.4136615569465259e-06,0.00037056027659927905
0.0012033778407775893,1.0,1e-05,0.01,0.00036666666666666667,7.720005762484978e-05,1.4136615569465259e-06,0.0003396802535493391
0.0012033778407775893,1.0,1.26e-05,0.01,0.0006,7.720005762484978e-05,1.4136615569465259e-06,0.0005558404148989184
0.0012033778407775893,1.0,1.58e-05,0.01,0.0010666666666666667,7.720005762484978e-05,1.4136615569465259e-06,0.0009881607375980773
0.0012033778407775893,1.0,2e-05,0.01,0.0016666666666666668,7.720005762484978e-05,1.4136615569465259e-06,0.001544001152496996
0.0012033778407775893,1.0,2.51e-05,0.01,0.0019333333333333333,7.720005762484978e-05,1.4136615569465259e-06,0.0017910413368965152
0.0012033778407775893,1.0,3.16e-05,0.01,0.0019666666666666665,7.720005762484978e-05,1.4136615569465259e-06,0.001821921359946455
0.0012033778407775893,1.0,3.98e-05,0.01,0.0016,7.720005762484978e-05,1.4136615569465259e-06,0.0014822411063971162
0.0012033778407775893,1.0,5.01e-05,0.01,0.0011333333333333334,7.720005762484978e-05,1.4136615569465259e-06,0.0010499207836979572
0.0012033778407775893,1.0,6.31e-05,0.01,0.00046666666666666666,7.720005762484978e-05,1.4136615569465259e-06,0.0004323203226991588
0.0012033778407775893,1.0,7.94e-05,0.01,0.00016666666666666666,7.720005762484978e-05,1.4136615569465259e-06,0.0001544001152496996
0.0012033778407775893,1.0,0.0001,0.01,3.3333333333333335e-05,7.720005762484978e-05,1.4136615569465259e-06,3.0880023049939916e-05
0.0012033778407775893,1.0,0.000126,0.01,6.666666666666667e-05,7.720005762484978e-05,1.4136615569465259e-06,6.176004609987983e-05
0.0012033778407775893,1.0,0.000158,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.0002,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.000251,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.000316,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.000398,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.000501,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.000631,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.000794,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.001,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.00126,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.00158,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.002,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.00251,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.00316,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.00398,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.00501,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012033778407775893,1.0,0.00631,0.01,0.0,7.720005762484978e-05,1.4136615569465259e-06,0.0
0.0012603829296797275,1.0,3.16e-07,0.01,0.0,8.468735519986606e-05,1.5507664383787962e-06,0.0
0.0012603829296797275,1.0,3.98e-07,0.01,0.0,8.468735519986606e-05,1.5507664383787962e-06,0.0
0.0012603829296797275,1.0,5.01e-07,0.01,0.0,8.468735519986606e-05,1.5507664383787962e-06,0.0
0.0012603829296797275,1.0,6.31e-07,0.01,0.0,8.468735519986606e-05,1.5507664383787962e-06,0.0
0.0012603829296797275,1.0,7.94e-07,0.01,0.0,8.468735519986606e-05,1.5507664383787962e-06,0.0
0.0012603829296797275,1.0,1e-06,0.01,0.0,8.468735519986606e-05,1.5507664383787962e-06,0.0
0.0012603829296797275,1.0,1.26e-06,0.01,0.0,8.468735519986606e-05,1.5507664383787962e-06,0.0
0.0012603829296797275,1.0,1.58e-06,0.01,6.666666666666667e-05,8.468735519986606e-05,1.5507664383787962e-06,6.774988415989286e-05
0.0012603829296797275,1.0,2e-06,0.01,3.3333333333333335e-05,8.468735519986606e-05,1.5507664383787962e-06,3.387494207994643e-05
0.0012603829296797275,1.0,3.16e-06,0.01,6.666666666666667e-05,8.468735519986606e-05,1.5507664383787962e-06,6.774988415989286e-05
0.0012603829296797275,1.0,3.98e-06,0.01,0.0001,8.468735519986606e-05,1.5507664383787962e-06,0.0001016248262398393
0.0012603829296797275,1.0,5.01e-06,0.01,0.00023333333333333333,8.468735519986606e-05,1.5507664383787962e-06,0.000237124594559625
0.0012603829296797275,1.0,6.31e-06,0.01,0.00016666666666666666,8.468735519986606e-05,1.5507664383787962e-06,0.00016937471039973214
0.0012603829296797275,1.0,7.94e-06,0.01,0.0004,8.468735519986606e-05,1.5507664383787962e-06,0.0004064993049593572
0.0012603829296797275,1.0,1e-05,0.01,0.00036666666666666667,8.468735519986606e-05,1.5507664383787962e-06,0.00037262436287941077
0.0012603829296797275,1.0,1.26e-05,0.01,0.0006,8.468735519986606e-05,1.5507664383787962e-06,0.0006097489574390357
0.0012603829296797275,1.0,1.58e-05,0.01,0.0010666666666666667,8.468735519986606e-05,1.5507664383787962e-06,0.0010839981465582858
0.0012603829296797275,1.0,2e-05,0.01,0.0016666666666666668,8.468735519986606e-05,1.5507664383787962e-06,0.0016937471039973216
0.0012603829296797275,1.0,2.51e-05,0.01,0.0019333333333333333,8.468735519986606e-05,1.5507664383787962e-06,0.0019647466406368928
0.0012603829296797275,1.0,3.16e-05,0.01,0.0019666666666666665,8.468735519986606e-05,1.5507664383787962e-06,0.001998621582716839
