C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.0010473708979594498,1.0,1.58e-06,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,2e-06,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,2.51e-06,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,3.16e-06,0.01,3.3333333333333335e-05,5.848099569595742e-05,1.07088437458263e-06,2.3392398278382973e-05
0.0010473708979594498,1.0,3.98e-06,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,5.01e-06,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,6.31e-06,0.01,0.00023333333333333333,5.848099569595742e-05,1.07088437458263e-06,0.0001637467879486808
0.0010473708979594498,1.0,7.94e-06,0.01,0.00016666666666666666,5.848099569595742e-05,1.07088437458263e-06,0.00011696199139191486
0.0010473708979594498,1.0,1e-05,0.01,0.00023333333333333333,5.848099569595742e-05,1.07088437458263e-06,0.0001637467879486808
0.0010473708979594498,1.0,1.26e-05,0.01,0.0005333333333333334,5.848099569595742e-05,1.07088437458263e-06,0.00037427837245412757
0.0010473708979594498,1.0,1.58e-05,0.01,0.00046666666666666666,5.848099569595742e-05,1.07088437458263e-06,0.0003274935758973616
0.0010473708979594498,1.0,2e-05,0.01,0.0010666666666666667,5.848099569595742e-05,1.07088437458263e-06,0.0007485567449082551
0.0010473708979594498,1.0,2.51e-05,0.01,0.0018333333333333333,5.848099569595742e-05,1.07088437458263e-06,0.0012865819053110633
0.0010473708979594498,1.0,3.16e-05,0.01,0.0028666666666666667,5.848099569595742e-05,1.07088437458263e-06,0.0020117462519409356
0.0010473708979594498,1.0,3.98e-05,0.01,0.0036,5.848099569595742e-05,1.07088437458263e-06,0.0025263790140653605
0.0010473708979594498,1.0,5.01e-05,0.01,0.004533333333333334,5.848099569595742e-05,1.07088437458263e-06,0.003181366165860084
0.0010473708979594498,1.0,6.31e-05,0.01,0.0064333333333333334,5.848099569595742e-05,1.07088437458263e-06,0.004514732867727913
0.0010473708979594498,1.0,7.94e-05,0.01,0.0074,5.848099569595742e-05,1.07088437458263e-06,0.005193112417801019
0.0010473708979594498,1.0,0.0001,0.01,0.009,5.848099569595742e-05,1.07088437458263e-06,0.006315947535163401
0.0010473708979594498,1.0,0.000126,0.01,0.006566666666666667,5.848099569595742e-05,1.07088437458263e-06,0.004608302460841446
0.0010473708979594498,1.0,0.000158,0.01,0.0043,5.848099569595742e-05,1.07088437458263e-06,0.003017619377911403
0.0010473708979594498,1.0,0.0002,0.01,0.0023666666666666667,5.848099569595742e-05,1.07088437458263e-06,0.001660860277765191
0.0010473708979594498,1.0,0.000251,0.01,0.0006666666666666666,5.848099569595742e-05,1.07088437458263e-06,0.00046784796556765943
0.0010473708979594498,1.0,0.000316,0.01,0.0001,5.848099569595742e-05,1.07088437458263e-06,7.017719483514891e-05
0.0010473708979594498,1.0,0.000398,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.000501,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.000631,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.000794,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.001,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00126,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00158,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.002,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00251,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00316,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00398,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00501,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00631,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.001096985797892384,1.0,1e-06,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
