filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_W+_sampledfs_Scan_5_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_8.pkl.gz,5,8,0.562,0.0000316,1,2000,4.868646000000001e-10,2000,4.868646000000001e-10,5,1.2171615000000003e-12,1,2.4343230000000007e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_9.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_9.pkl.gz,5,9,0.562,0.00001,1,2000,4.8211668e-11,2000,4.8211668e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_1.pkl.gz,6,1,1.0,0.01,1,2000,4.5123141999999997e-05,2000,4.5123141999999997e-05,2000,4.5123141999999997e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_2.pkl.gz,6,2,1.0,0.00316,1,2000,4.5187524e-06,2000,4.5187524e-06,1984,4.4826023808e-06,6,1.35562572e-08,2,4.5187524e-09,1,2.2593762e-09,1,2.2593762e-09,1,2.2593762e-09,1,2.2593762e-09,1,2.2593762e-09,1,2.2593762e-09,1,success
ALP_W+_sampledfs_Scan_6_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_3.pkl.gz,6,3,1.0,0.001,1,2000,4.478704199999999e-07,2000,4.478704199999999e-07,1664,3.726281894399999e-07,91,2.0378104109999996e-08,17,3.80689857e-09,12,2.68722252e-09,12,2.68722252e-09,11,2.46328731e-09,11,2.46328731e-09,11,2.46328731e-09,11,2.46328731e-09,11,success
ALP_W+_sampledfs_Scan_6_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_4.pkl.gz,6,4,1.0,0.000316,1,2000,4.502435800000001e-08,2000,4.502435800000001e-08,707,1.5916110553000002e-08,141,3.1742172390000006e-09,21,4.72755759e-10,20,4.5024358e-10,5,1.12560895e-10,5,1.12560895e-10,5,1.12560895e-10,5,1.12560895e-10,5,1.12560895e-10,5,success
ALP_W+_sampledfs_Scan_6_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_5.pkl.gz,6,5,1.0,0.0001,1,2000,4.4883532e-09,2000,4.4883532e-09,131,2.9398713460000006e-10,53,1.1894135980000002e-10,17,3.81510022e-11,12,2.6930119200000005e-11,2,4.4883532000000006e-12,2,4.4883532000000006e-12,2,4.4883532000000006e-12,2,4.4883532000000006e-12,2,4.4883532000000006e-12,2,success
ALP_W+_sampledfs_Scan_6_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_6.pkl.gz,6,6,1.0,0.0000316,1,2000,4.4878088000000017e-10,2000,4.4878088000000017e-10,11,2.4682948400000005e-12,2,4.4878088000000003e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_7.pkl.gz,6,7,1.0,0.00001,1,2000,4.503430199999999e-11,2000,4.503430199999999e-11,1,2.2517151e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_6_Run_8.pkl.gz,6,8,1.0,0.00000316,1,2000,4.511445800000001e-12,2000,4.511445800000001e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_7_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_7_Run_1.pkl.gz,7,1,1.78,0.00316,1,2000,4.0336770000000004e-06,2000,4.0336770000000004e-06,2000,4.0336770000000004e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_7_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_7_Run_2.pkl.gz,7,2,1.78,0.001,1,2000,4.039712800000001e-07,2000,4.039712800000001e-07,1921,3.8801441444000007e-07,32,6.463540480000001e-09,7,1.4138994800000002e-09,3,6.059569200000001e-10,3,6.059569200000001e-10,3,6.059569200000001e-10,3,6.059569200000001e-10,3,6.059569200000001e-10,3,6.059569200000001e-10,3,success
ALP_W+_sampledfs_Scan_7_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_7_Run_3.pkl.gz,7,3,1.78,0.000316,1,2000,4.0018707999999995e-08,2000,4.0018707999999995e-08,1231,2.4631514774e-08,165,3.3015434099999994e-09,31,6.20289974e-10,18,3.60168372e-10,12,2.40112248e-10,12,2.40112248e-10,12,2.40112248e-10,12,2.40112248e-10,12,2.40112248e-10,12,success
ALP_W+_sampledfs_Scan_7_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_7_Run_4.pkl.gz,7,4,1.78,0.0001,1,2000,4.040067e-09,2000,4.040067e-09,328,6.625709880000001e-10,91,1.838230485e-10,18,3.6360603000000003e-11,15,3.0300502500000004e-11,3,6.060100500000001e-12,3,6.060100500000001e-12,3,6.060100500000001e-12,3,6.060100500000001e-12,3,6.060100500000001e-12,3,success
