mass,CaPhi,acceptance,cross_section_pb,Gamma_total_alp_GeV,N_signal
0.316,3.98e-08,0.0,1.406018e-24,6.35940877625297e-25,0.0
0.316,5.01e-08,0.0,2.244037e-24,1.0076879133407438e-24,0.0
0.316,6.31e-08,0.0,3.578625e-24,1.5984877640474101e-24,0.0
0.316,7.94e-08,0.0,5.631835e-24,2.530996838000188e-24,0.0
0.316,1e-07,0.0,8.976088e-24,4.014676887106998e-24,0.0
0.316,1.26e-07,0.0,1.403726e-23,6.373701025971071e-24,0.0
0.316,1.58e-07,0.0,2.217953e-23,1.0022239380973914e-23,0.0
0.316,2e-07,0.0,3.529522e-23,1.6058707548427992e-23,0.0
0.316,2.51e-07,0.0,5.618496e-23,2.5292865856462806e-23,0.0
0.316,3.16e-07,0.0,8.808468e-23,4.0088957523895655e-23,0.0
0.316,3.98e-07,0.0,1.418867e-22,6.359408776252971e-23,0.0
0.316,5.01e-07,0.0,2.235068e-22,1.0076879133407441e-22,0.0
0.316,6.31e-07,0.0,3.571347e-22,1.5984877640474095e-22,0.0
0.316,7.94e-07,0.0,5.633959e-22,2.5309968380001885e-22,0.0
0.316,1e-06,0.0,8.895754e-22,4.0146768871069985e-22,0.0
0.316,1.26e-06,0.0,1.397958e-21,6.373701025971071e-22,0.0
0.316,1.58e-06,0.0,2.236953e-21,1.0022239380973909e-21,0.0
0.316,2e-06,0.0,3.602421e-21,1.6058707548427994e-21,0.0
0.316,2.51e-06,0.0,5.565863e-21,2.5292865856462806e-21,0.0
0.316,3.16e-06,0.0,8.824908e-21,4.0088957523895636e-21,0.0
0.316,3.98e-06,0.0,1.418647e-20,6.3594087762529694e-21,0.0
0.316,5.01e-06,0.0,2.226884e-20,1.007687913340744e-20,0.0
0.316,6.31e-06,0.0,3.537266e-20,1.5984877640474095e-20,0.0
0.316,7.94e-06,8.66519776942188e-06,5.599871e-20,2.5309968380001882e-20,5.822878763790032e-19
0.316,1e-05,0.0,8.860622e-20,4.014676887106999e-20,0.0
0.316,1.26e-05,0.0,1.416404e-19,6.373701025971072e-20,0.0
0.316,1.58e-05,0.0,2.224573e-19,1.0022239380973914e-19,0.0
0.316,2e-05,0.0,3.560955e-19,1.6058707548427997e-19,0.0
0.316,2.51e-05,0.0,5.677082e-19,2.52928658564628e-19,0.0
0.316,3.16e-05,8.744710493397568e-06,8.978195e-19,4.0088957523895655e-19,9.421405923392351e-18
0.316,3.98e-05,0.0,1.413947e-18,6.359408776252969e-19,0.0
0.316,5.01e-05,8.74471049339757e-06,2.242551e-18,1.0076879133407437e-18,2.3532551114015054e-17
0.316,6.31e-05,8.685832361803938e-06,3.553514e-18,1.59848776404741e-18,3.7038272279188036e-17
0.316,7.94e-05,4.189838378639747e-05,5.61939e-18,2.5309968380001883e-18,2.825320306385329e-16
0.316,0.0001,2.6176343721101553e-05,8.896663e-18,4.014676887106999e-18,2.794585303905678e-16
0.316,0.000126,6.664630466741021e-05,1.434292e-17,6.373701025971071e-18,1.1470831393683495e-15
0.316,0.000158,8.411866189362708e-05,2.232325e-17,1.0022239380973912e-17,2.2533623029402932e-15
0.316,0.0002,0.00024869823406296736,3.54269e-17,1.6058707548427996e-17,1.0572728961990407e-14
0.316,0.000251,0.0002175727771357002,5.635688e-17,2.5292865856462796e-17,1.4714067470764077e-14
0.316,0.000316,0.0003508257528445103,8.849283e-17,4.008895752389565e-17,3.725467644730952e-14
0.316,0.000398,0.0008684089441243859,1.39686e-16,6.359408776252971e-17,1.4556548612275077e-13
0.316,0.000501,0.0012362225635945258,2.228131e-16,1.0076879133407438e-16,3.3053589802133215e-13
0.316,0.000631,0.00178096979889316,3.587957e-16,1.5984877640474098e-16,7.668051668072768e-13
