mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,C_Zh_eff,Gamma_total_alp_GeV,N_signal
0.1,3.98e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.022848197179681e-22,0.0
0.1,5.01e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099293e-22,0.0
0.1,6.31e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.5138905968518841e-21,0.0
0.1,7.94e-05,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.3970482601684106e-21,0.0
0.1,0.0001,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.802207139453348e-21,0.0
0.1,0.000126,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.036384054596134e-21,0.0
0.1,0.000158,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.491829902931336e-21,0.0
0.1,0.0002,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.5208828557813392e-20,0.0
0.1,0.000251,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.395428519927002e-20,0.0
0.1,0.000316,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.7967319611725343e-20,0.0
0.1,0.000398,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.022848197179681e-20,0.0
0.1,0.000501,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099298e-20,0.0
0.1,0.000631,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.5138905968518845e-19,0.0
0.1,0.000794,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.39704826016841e-19,0.0
0.1,0.001,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.8022071394533476e-19,0.0
0.1,0.00126,0.0,0.012008240589038151,0.00021989087326566842,0.015,6.036384054596134e-19,0.0
0.1,0.00158,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.491829902931335e-19,0.0
0.1,0.002,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.520882855781339e-18,0.0
0.1,0.00251,1.8215966825103507e-07,0.012008240589038151,0.00021989087326566842,0.015,2.3954285199270035e-18,0.0026249005463733644
0.1,0.00316,5.996196835625322e-05,0.012008240589038151,0.00021989087326566842,0.015,3.796731961172534e-18,0.8640452906570174
0.1,0.00398,2.732395023765526e-07,0.012008240589038151,0.00021989087326566842,0.015,6.022848197179681e-18,0.003937350819560047
0.1,0.00501,9.107983412551754e-08,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099296e-18,0.0013124502731866822
0.1,0.00631,5.316619021171426e-05,0.012008240589038151,0.00021989087326566842,0.015,1.513890596851884e-17,0.766118883917796
0.1,0.00794,0.00011294599889971641,0.012008240589038151,0.00021989087326566842,0.015,2.39704826016841e-17,1.6275392740284396
0.1,0.01,0.0001470079709060539,0.012008240589038151,0.00021989087326566842,0.015,3.8022071394533477e-17,2.1183684997754595
0.1,0.0126,0.0002797037454005086,0.012008240589038151,0.00021989087326566842,0.015,6.036384054596136e-17,4.030499842109257
0.1,0.0158,0.000313037078733842,0.012008240589038151,0.00021989087326566842,0.015,9.491829902931338e-17,4.510829465670784
0.1,0.02,0.00042725819531131564,0.012008240589038151,0.00021989087326566842,0.015,1.520882855781339e-16,6.156743043523837
0.1,0.0251,0.0005214642953421574,0.012008240589038151,0.00021989087326566842,0.015,2.3954285199270034e-16,7.5142424604742475
0.1,0.0316,0.0008964830958839796,0.012008240589038151,0.00021989087326566842,0.015,3.7967319611725352e-16,12.9182216392567
0.1,0.0398,0.0015672722313036138,0.012008240589038151,0.00021989087326566842,0.015,6.022848197179681e-16,22.584218426414935
0.1,0.0501,0.0021178643099424945,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099298e-16,30.518189002472088
0.1,0.0631,0.0027596008642326946,0.012008240589038151,0.00021989087326566842,0.015,1.5138905968518842e-15,39.76554132890857
0.1,0.0794,0.0033284694440193384,0.012008240589038151,0.00021989087326566842,0.015,2.397048260168411e-15,47.96287425245552
0.1,0.1,0.0031793427607110796,0.012008240589038151,0.00021989087326566842,0.015,3.8022071394533474e-15,45.813975342762475
0.1,0.126,0.002802122047049279,0.012008240589038151,0.00021989087326566842,0.015,6.036384054596135e-15,40.378266840978995
0.1,0.158,0.0019363821758248334,0.012008240589038151,0.00021989087326566842,0.015,9.491829902931336e-15,27.90305164755573
0.1,0.2,0.001056809383576735,0.012008240589038151,0.00021989087326566842,0.015,1.520882855781339e-14,15.228505601691047
0.1,0.251,0.0006123004415103549,0.012008240589038151,0.00021989087326566842,0.015,2.395428519927003e-14,8.82318121731675
0.1,0.316,0.00010045539917062761,0.012008240589038151,0.00021989087326566842,0.015,3.796731961172534e-14,1.447551122050512
0.1,0.398,9.107983412551754e-08,0.012008240589038151,0.00021989087326566842,0.015,6.022848197179682e-14,0.0013124502731866822
0.1,0.501,0.0,0.012008240589038151,0.00021989087326566842,0.015,9.543577942099294e-14,0.0
0.1,0.631,0.0,0.012008240589038151,0.00021989087326566842,0.015,1.5138905968518842e-13,0.0
0.1,0.794,0.0,0.012008240589038151,0.00021989087326566842,0.015,2.397048260168411e-13,0.0
0.1,1.0,0.0,0.012008240589038151,0.00021989087326566842,0.015,3.802207139453347e-13,0.0
0.178,3.16e-08,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.778213642225725e-28,0.0
0.178,3.98e-08,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.075244505871579e-27,0.0
0.178,5.01e-08,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.7037918626945794e-27,0.0
0.178,6.31e-08,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.7027122276099957e-27,0.0
0.178,7.94e-08,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.2793922205478066e-27,0.0
0.178,1e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.787988345443163e-27,0.0
0.178,1.26e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.0776610297225566e-26,0.0
0.178,1.58e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.6945534105564318e-26,0.0
0.178,2e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.7151953381772654e-26,0.0
0.178,2.51e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.276500537512648e-26,0.0
0.178,3.16e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.778213642225727e-26,0.0
0.178,3.98e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.075244505871579e-25,0.0
0.178,5.01e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.7037918626945804e-25,0.0
0.178,6.31e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.7027122276099954e-25,0.0
0.178,7.94e-07,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.279392220547808e-25,0.0
0.178,1e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.787988345443164e-25,0.0
0.178,1.26e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.0776610297225568e-24,0.0
0.178,1.58e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.694553410556431e-24,0.0
0.178,2e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.7151953381772656e-24,0.0
0.178,2.51e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.276500537512649e-24,0.0
0.178,3.16e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.778213642225724e-24,0.0
0.178,3.98e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.075244505871579e-23,0.0
0.178,5.01e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.7037918626945798e-23,0.0
0.178,6.31e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.7027122276099954e-23,0.0
0.178,7.94e-06,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.279392220547807e-23,0.0
0.178,1e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.787988345443164e-23,0.0
0.178,1.26e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.0776610297225568e-22,0.0
0.178,1.58e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.6945534105564321e-22,0.0
0.178,2e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.7151953381772657e-22,0.0
0.178,2.51e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.276500537512648e-22,0.0
0.178,3.16e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.778213642225729e-22,0.0
0.178,3.98e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.0752445058715789e-21,0.0
0.178,5.01e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.7037918626945795e-21,0.0
0.178,6.31e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.7027122276099954e-21,0.0
0.178,7.94e-05,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.2793922205478076e-21,0.0
0.178,0.0001,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.787988345443167e-21,0.0
0.178,0.000126,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.0776610297225565e-20,0.0
0.178,0.000158,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.6945534105564315e-20,0.0
0.178,0.0002,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.715195338177267e-20,0.0
0.178,0.000251,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.2765005375126464e-20,0.0
